names phi theta dt Tspan wn log10_A_dm log10_A_red log10_A_sv g_dm g_red g_sv
pulsar_1 3.2941979671607213 2.2146979941300127 346462.5247044456 10.32077171579313 9.679553250510313e-41 -39.71873489860671 -69.36186875766492 -69.57894466535984 4.995516244421342 1.8089957781351753 0.8387706965751031
pulsar_2 0.028551039313601482 0.9994367741129068 259798.62636144014 10.002961424562 1.0261323584960898e-40 -39.50915983637455 -69.09912513041493 -69.06283537740849 1.2431131482054403 1.2341807423741082 1.3122032060270186
pulsar_3 3.2422764388727128 2.8249589437150533 223832.96027954537 9.703876651652363 1.0137628130239453e-40 -69.28445304372235 -69.34361335167199 -69.05017176309269 4.535359644153063 3.2961564789807998 0.5867056323450107
pulsar_4 4.92942156161296 2.6956817140544618 191653.974763925 9.741990885684952 1.0305830035299717e-40 -69.89031621871803 -69.82292465761446 -69.14450090318013 1.5297750751722892 0.30944882162593834 4.482934523857533
pulsar_5 1.4941978679560746 0.9075095604279609 191503.39191435982 9.652757502881027 9.99436391691397e-41 -39.60273999693619 -69.04974520978118 -69.69562150277898 3.3339911868090857 3.1504343161474457 1.0838569957450765
pulsar_6 1.59081080100994 1.2605393249260162 152005.52221706082 10.006700835999542 1.0008774947866343e-40 -69.02237464055511 -69.95891615082735 -69.98934921604743 1.68206082417073 2.523502262439967 0.8072414727592314
pulsar_7 4.391948547966813 1.2735246423213602 183973.14672508926 10.007851255877545 1.0223656175899478e-40 -39.66103684273729 -69.22301172095266 -69.84739714754062 1.7270296392713715 2.070338561841092 1.1531612188768006
pulsar_8 6.191202518556234 1.6522415633309218 327457.9832647846 10.343925718494464 9.8187461634273e-41 -39.490316437855576 -69.01887764560878 -69.1254276957518 0.5743910180853953 3.544448583166391 0.6502957842061914
pulsar_9 1.2601209704335237 2.4923168212039353 318162.37147622334 9.777028318895947 1.0021189130675589e-40 -69.02334066374968 -39.206828265040556 -69.74037742522148 3.3790212559867623 3.8664629125932866 2.723122754696272
pulsar_10 4.826488630699567 1.5151046202909153 187018.7351966037 9.92454469748879 1.007805593339269e-40 -39.117774683311616 -69.81648890451882 -69.23659654610105 3.626607589582543 0.6139049927555963 3.464202700678127
